word,pronunciation,part_of_speech,definition
puma,'pju:mә,n.,美洲狮
spot,spɔt,v.,看出，发现
evidence,'evidәns,n.,证据
accumulate,ә'kju:mjuleit,v.,积累，积聚
oblige,ә'blaidʒ,v.,使…感到必须
hunt,hʌnt,n.,追猎；寻找；v.打猎
blackberry,'blækbәri,n.,黑莓
corner,'kɔ:nә,v.,使走投无路，使陷入困境；n.角落
trail,treil,n.,一串，一系列
print,print,n.,印痕
cling,kliŋ,v.,粘
convince,kәn'vins,v.,使…信服
somehow,'sʌmhau,ad.,不知怎么搞的，不知什么原因
disturb,dis'tә:b,v.,令人不安
equal,'i:kwәl,v.,等于
vicar,'vikә,n.,牧师
raise,'reiz,v.,募集，筹(款)
torchlight,'tɔ:tʃlait,n.,电筒光
goddess,'gɔdis,n.,女神
archaeologist,'a:kiә'lɔdʒist,n.,考古学家
aegean,i:'dʒi:әn,a.,爱琴海的
explore,iks'plɔ:,v.,考察，勘探
promontory,'prɔmәntәri,n.,海角
prosperous,'prɔspәrәs,a.,(经济上)繁荣的，昌盛的
civilization,'sivilai'zeiʃәn,n.,文明
storey,'stɔ:ri,n.,楼层
drainage,'dreinidʒ,n.,排水
worship,'wә:ʃip,n.,祟拜
sacred,'seikrid,a.,宗教的，神圣的
fragment,'frægmәnt,n.,碎片
remains,ri'meinz,n.,遗物，遗迹，废墟
classical,'klæsikәl,a.,(希腊和罗马)古文化的
reconstruct,'ri:kәns'trʌkt,v.,修复
rest,rest,v.,倚放，放置
hip,hip,n.,屁股，臀部
graceful,'greisful,a.,优雅的
identity,ai'dentiti,n.,身份
manual,'mænjuәl,a.,体力的
collar,'kɔlә,n.,衣领
sacrifice,'sækrifais,v.,牺牲，献出
privilege,'privilidʒ,n.,好处，特权
dustman,'dʌstmәn,n.,清洁工
corporation,'kɔ:pә'reiʃәn,n.,公司
shower,"'ʃәuә, 'ʃauә",n.,淋浴
secret,'si:krit,n.,秘密
status,'steitәs,n.,地位
editor,'editә,n.,编辑
extreme,iks'tri:m,n.,极端
